size,time,flops,add,mul
267,1.324448,43386722,35953204,7433518
268,1.516945,43540823,36038972,7501851
269,1.533971,43972840,36254712,7718128
270,1.308767,44303576,36421828,7881748
271,1.296915,44742057,36640798,8101259
272,1.340433,44229102,36502684,7726418
273,1.348503,44674095,36724908,7949187
274,1.466396,45014663,36896966,8117697
275,1.301954,45466216,37122468,8343748
276,1.340963,45629061,37212870,8416191
277,1.335370,46087222,37441674,8645548
278,1.327504,46437766,37618746,8819020
279,1.431363,46902583,37850876,9051707
280,1.396277,46770647,37819376,8951271
281,1.387660,47242168,38054856,9187312
282,1.361860,47602832,38237014,9365818
283,1.319520,48081105,38475868,9605237
284,1.346553,48252934,38571024,9681910
285,1.403485,48738007,38813276,9924731
286,1.330351,49108935,39000592,10108343
287,1.347230,49600856,39246266,10354590
288,1.510824,48578776,39166856,9411920
289,1.395957,49077593,39415976,9661617
290,1.372510,49458929,39608522,9850407
291,1.357350,49964690,39861112,10103578
292,1.376658,50145743,39961142,10184601
293,1.374776,50658496,40217226,10441270
294,1.359013,51050384,40415074,10635310
295,1.349533,51570177,40674676,10895501
296,1.434860,51417881,40634990,10782891
297,1.380619,51944762,40898134,11046628
298,1.369493,52347346,41101356,11245990
299,1.389579,52881363,41368066,11513297
300,1.387432,53071880,41473090,11598790
301,1.505606,53613081,41743390,11869691
302,1.380219,54026505,41952058,12074447
303,1.355130,54574938,42225972,12348966
304,1.459262,53897783,42020036,11877747
305,1.438165,54453496,42297588,12155908
306,1.399883,54877904,42511774,12366130
307,1.435858,55440945,42792988,12647957
308,1.529825,55641166,42903126,12738040
309,1.547800,56211583,43188026,13023557
310,1.533555,56647119,43407802,13239317
311,1.366685,57224960,43696412,13528548
312,1.423736,57050912,43647844,13403068
313,1.454547,57636225,43940188,13696037
314,1.403557,58083033,44165626,13917407
315,1.391009,58675866,44461728,14214138
316,1.461271,58886031,44577100,14308931
317,1.405793,59486432,44876984,14609448
318,1.381144,59944656,45108156,14836500
319,1.430160,60552673,45411846,15140827
320,1.557213,59386590,46445200,12941390
321,1.527825,60002271,46752720,13249551
322,1.514228,60472055,46989698,13482357
323,1.508348,61095448,47301072,13794376
324,1.660496,61315797,47421798,13893999
325,1.541618,61946950,47737050,14209900
326,1.511016,62428438,47979906,14448532
327,1.523410,63067399,48299060,14768339
328,1.579978,62870207,48240914,14629293
329,1.591994,63517024,48563994,14953030
330,1.572316,64010360,48812800,15197560
331,1.578405,64665081,49139830,15525251
332,1.539708,64895854,49266030,15629824
333,1.557061,65558527,49597034,15961493
334,1.596675,66063855,49851862,16211993
335,1.538434,66734528,50186864,16547664
336,1.594324,65871141,49902090,15969051
337,1.537984,66549862,50241114,16308748
338,1.509305,67067326,50502036,16565290
339,1.511750,67754143,50845106,16909037
340,1.561556,67995580,50976900,17018680
341,1.535725,68690541,51324040,17366501
342,1.564195,69220285,51591128,17629157
343,1.517685,69923438,51942362,17981076
344,1.560707,69701710,51873942,17827768
345,1.577585,70413103,52229294,18183809
346,1.628278,70955271,52502620,18452651
347,1.785922,71674952,52862114,18812838
348,1.619721,71927293,52999622,18927671
349,1.541466,72655310,53363282,19292028
350,1.516925,73210046,53642918,19567128
351,1.521673,73946447,54010768,19935679
352,1.768380,72148535,53644028,18504507
353,1.581359,72893368,54016092,18877276
354,1.562000,73460816,54302110,19158706
355,1.566255,74214129,54678412,19535717
356,1.595491,74477614,54821754,19655860
357,1.574313,75239455,55202318,20037137
358,1.556013,75819759,55494790,20324969
359,1.628445,76590176,55879640,20710536
360,1.602678,76342520,55800250,20542270
361,1.604257,77121561,56189410,20932151
362,1.591699,77714865,56488408,21226457
363,1.579956,78502578,56881902,21620676
364,1.619056,78777447,57031198,21746249
365,1.696752,79573880,57429050,22144830
366,1.609139,80180328,57734646,22445682
367,1.595333,80985529,58136880,22848649
368,1.739626,79913878,57762252,22151626
369,1.616740,80727895,58168892,22559003
370,1.683913,81347631,58481158,22866473
371,1.606111,82170512,58892228,23278284
372,1.633286,82457005,59047598,23409407
373,1.621543,83288798,59463122,23825676
374,1.601548,83921966,59782130,24139836
375,1.686452,84762719,60202132,24560587
376,1.647385,84487743,60111076,24376667
377,1.635549,85337504,60535580,24801924
378,1.622133,85984248,60861402,25122846
379,1.626795,86843065,61290432,25552633
380,1.731194,87141422,61451996,25689426
381,1.644964,88009343,61885576,26123767
382,1.631380,88669807,62218284,26451523
383,1.598803,89546880,62656438,26890442
384,2.408897,91352080,69939962,21412118
385,2.282540,92238353,70382714,21855639
386,2.265891,92912681,70722380,22190301
387,2.258027,93808202,71169754,22638448
388,2.372920,94118663,71337632,22781031
389,2.271369,95023480,71789652,23233828
390,2.267025,95711816,72136348,23575468
391,2.251771,96625977,72593038,24032939
392,2.291799,96322289,72489620,23832669
393,2.280306,97245842,72951004,24294838
394,2.269163,97948330,73304802,24643528
395,2.265580,98881323,73770904,25110419
396,2.408143,99204128,73945216,25258912
397,2.320171,100146609,74416060,25730549
398,2.296443,100863393,74777032,26086361
399,2.257978,101815410,75252642,26562768
400,2.327142,100513463,74777144,25736319
401,2.309471,101475064,75257544,26217520
402,2.271904,102206288,75625762,26580526
403,2.267276,103177521,76110976,27066545
404,2.299587,103512910,76291842,27221068
405,2.286481,104493823,76781894,27711929
406,2.354111,105239631,77157430,28082201
407,2.272878,106230272,77652344,28577928
408,2.325299,105896480,77535868,28360612
409,2.514886,106896897,78035668,28861229
410,2.310137,107657433,78418594,29238839
411,2.306659,108667674,78923304,29744370
412,2.497512,109015887,79110844,29905043
413,2.307801,110036000,79620488,30415512
414,2.284149,110811408,80010876,30800532
415,2.279402,111841441,80525478,31315963
416,2.356274,109064321,79769720,29294601
417,2.330306,110104322,80289304,29815018
418,2.406140,110894746,80687226,30207520
419,2.309801,111944763,81211816,30732947
420,2.365858,112306040,81406150,30899890
