n, time, flops
477, 2.669082, 153585839
478, 2.596692, 154618783
479, 2.652445, 155991600
480, 2.812482, 152031896
481, 2.730099, 153416217
482, 2.926925, 154466481
483, 2.733436, 155862354
484, 2.648466, 156336783
485, 2.657910, 157744256
486, 2.780428, 158811984
487, 2.804791, 160231105
488, 2.831898, 159725913
489, 2.783049, 161156730
490, 2.816316, 162242066
491, 2.774950, 163684627
492, 2.658157, 164174280
493, 2.714422, 165628633
494, 2.830145, 166731721
495, 2.750298, 168197914
496, 2.695175, 166072887
497, 2.721456, 167550968
498, 2.892974, 168671952
499, 2.701803, 170161969
500, 2.719444, 170667086
501, 2.672288, 172169087
502, 2.692007, 173308111
503, 2.679426, 174822144
504, 2.817018, 174278496
505, 2.712477, 175804609
506, 2.717217, 176961817
507, 2.666570, 178500058
508, 2.819431, 179020879
509, 2.863055, 180571296
510, 2.721041, 181746832
511, 2.676256, 183309473
512, 8.433737, 280902385
513, 8.329133, 282477298
514, 8.804172, 283671306
515, 8.454579, 285258539
516, 8.400256, 285795304
517, 8.501932, 287394905
518, 8.748687, 288607529
519, 8.483437, 290219546
520, 8.423918, 289636050
521, 8.844958, 291260531
522, 8.471769, 292491915
523, 8.507142, 294128908
524, 8.657707, 294681857
525, 8.441182, 296331410
526, 8.579096, 297581698
527, 8.558475, 299243859
528, 8.617690, 296800408
529, 8.651006, 298475225
530, 8.510242, 299744561
531, 8.651233, 301432082
532, 8.785956, 302001455
533, 8.548600, 303701728
534, 8.455968, 304990256
535, 8.513317, 306703329
536, 8.542779, 306078593
537, 8.656796, 307804514
538, 8.615607, 309112378
539, 8.729508, 310851195
540, 8.577905, 311437232
541, 8.618589, 313188993
542, 8.678640, 314516337
543, 8.526274, 316281090
544, 8.693891, 310935426
545, 8.769582, 312713219
546, 8.651285, 314060187
547, 8.610205, 315851068
548, 8.725649, 316454009
549, 8.906439, 318258026
550, 8.736412, 319624762
551, 8.660833, 321441963
552, 8.764913, 320774595
553, 8.855066, 322605028
554, 8.671737, 323991676
555, 8.750430, 325835389
556, 8.387510, 326455474
557, 8.726733, 328312515
558, 8.695832, 329719219
559, 8.804901, 331589636
560, 8.936683, 328805729
561, 8.754265, 330689570
562, 8.592683, 332116474
563, 8.706406, 334013787
564, 8.730742, 334651256
565, 8.858116, 336562089
566, 8.604232, 338009337
567, 8.689395, 339933738
568, 8.698519, 339222346
569, 8.666452, 341160363
570, 8.647032, 342628099
571, 8.662544, 344579780
572, 8.588839, 345234873
573, 8.648154, 347200266
574, 8.685288, 348688634
575, 8.726761, 350667787
576, 8.965956, 341544424
577, 8.943039, 343537385
578, 8.769238, 345046529
579, 8.900880, 347053346
580, 8.917324, 347726303
581, 8.763237, 349747024
582, 8.826486, 351277088
583, 8.968508, 353311761
584, 8.955622, 352554953
585, 8.890345, 354603626
586, 8.927259, 356154754
587, 8.967256, 358217475
588, 8.941099, 358908536
589, 8.794573, 360985353
590, 8.974195, 362557689
591, 8.920873, 364648650
592, 8.878117, 361502255
593, 8.951341, 363607408
594, 8.921908, 365201096
595, 8.707664, 367320489
596, 8.824634, 368029894
597, 9.001184, 370163575
598, 8.789331, 371778759
599, 8.857449, 373926776
600, 8.923496, 373123160
601, 8.652613, 375285561
602, 8.707097, 376922385
603, 8.684893, 379099218
604, 8.756351, 379827207
605, 8.668152, 382018520
606, 8.704057, 383677128
607, 8.779362, 385882969
608, 8.832193, 378947969
609, 8.723708, 381168386
610, 8.726993, 382848922
611, 8.786007, 385083963
612, 8.692367, 385830776
613, 8.765298, 388080489
614, 8.867421, 389783097
615, 8.852096, 392047530
616, 8.780802, 391195714
617, 8.889249, 393474915
618, 8.783251, 395199739
619, 8.847972, 397493756
620, 8.822114, 398259633
621, 8.846007, 400568514
622, 8.809155, 402315698
623, 8.786814, 404639491
624, 8.862201, 401108576
625, 8.804831, 403447329
626, 8.740463, 405217017
627, 8.839571, 407570778
628, 8.882858, 408355959
629, 8.797649, 410724776
630, 9.008846, 412517112
631, 9.113978, 414901033
632, 9.058128, 413999625
633, 9.096999, 416398698
634, 9.170547, 418213826
635, 9.201204, 420628099
636, 9.125329, 421432824
637, 9.233003, 423862345
638, 9.144253, 425700409
639, 9.351772, 428145226
640, 9.902126, 417549330
641, 10.125824, 420009491
642, 10.006162, 421870635
643, 10.106806, 424346188
644, 9.888720, 425170697
645, 9.950279, 427661690
646, 10.071589, 429546058
647, 10.006314, 432052539
648, 10.060169, 431100147
649, 10.209178, 433622164
650, 9.909877, 435529900
651, 9.994343, 438067501
652, 10.181284, 438912034
653, 10.094719, 441465267
654, 10.050574, 443396515
655, 10.184690, 445965428
656, 10.140806, 442027961
657, 10.235381, 444612602
658, 10.245844, 446567506
659, 10.086869, 449167923
660, 10.047425, 450032720
661, 10.149339, 452648961
662, 10.087415, 454627665
663, 10.154393, 457259778
664, 10.159341, 456255010
665, 10.092151, 458903043
666, 10.153416, 460905691
667, 10.206495, 463569692
668, 10.204590, 464454993
669, 10.149658, 467135010
670, 10.216762, 469161746
671, 10.152725, 471857827
672, 10.269255, 463130115
673, 10.282831, 465842308
674, 10.286152, 467893276
675, 10.091119, 470621629
676, 10.210721, 471527674
677, 10.146440, 474272235
678, 10.156845, 476347579
679, 10.248274, 479108396
680, 10.066518, 478049860
681, 10.127233, 480826981
682, 10.247663, 482926845
683, 10.066830, 485720318
684, 10.181450, 486647347
685, 10.868120, 489457220
686, 10.244486, 491581748
687, 10.412234, 494408069
688, 10.510933, 490042018
689, 10.097839, 492884835
690, 10.373872, 495034171
691, 10.191657, 497893532
692, 10.276978, 498841785
693, 10.384074, 501717738
694, 10.186381, 503892026
695, 10.384493, 506784619
696, 10.228046, 505670923
697, 10.367543, 508580204
698, 10.261038, 510779588
699, 10.326758, 513705605
