size,time,flops,add,mul
277,0.056703,30204607,19794324,10410283
278,0.059765,30555151,19971396,10583755
279,0.058484,31019968,20203526,10816442
280,0.057619,30888032,20172026,10716006
281,0.057281,31359553,20407506,10952047
282,0.059394,31720217,20589664,11130553
283,0.059798,32198490,20828518,11369972
284,0.062642,32370319,20923674,11446645
285,0.062135,32855392,21165926,11689466
286,0.062572,33226320,21353242,11873078
287,0.065150,33718241,21598916,12119325
288,0.060569,32696161,21519506,11176655
289,0.062758,33194978,21768626,11426352
290,0.063336,33576314,21961172,11615142
291,0.062043,34082075,22213762,11868313
292,0.063837,34263128,22313792,11949336
293,0.066317,34775881,22569876,12206005
294,0.066612,35167769,22767724,12400045
295,0.070181,35687562,23027326,12660236
296,0.066391,35535266,22987640,12547626
297,0.066515,36062147,23250784,12811363
298,0.070304,36464731,23454006,13010725
299,0.068449,36998748,23720716,13278032
300,0.068046,37189265,23825740,13363525
301,0.071137,37730466,24096040,13634426
302,0.073289,38143890,24304708,13839182
303,0.074791,38692323,24578622,14113701
304,0.071120,38015168,24372686,13642482
305,0.070845,38570881,24650238,13920643
306,0.074215,38995289,24864424,14130865
307,0.074686,39558330,25145638,14412692
308,0.074842,39758551,25255776,14502775
309,0.077726,40328968,25540676,14788292
310,0.078838,40764504,25760452,15004052
311,0.080182,41342345,26049062,15293283
312,0.077143,41168297,26000494,15167803
313,0.079997,41753610,26292838,15460772
314,0.079646,42200418,26518276,15682142
315,0.080403,42793251,26814378,15978873
316,0.081628,43003416,26929750,16073666
317,0.084325,43603817,27229634,16374183
318,0.085720,44062041,27460806,16601235
319,0.087675,44670058,27764496,16905562
320,0.083100,43503975,28797850,14706125
321,0.082675,44119656,29105370,15014286
322,0.083754,44589440,29342348,15247092
323,0.084362,45212833,29653722,15559111
324,0.083337,45433182,29774448,15658734
325,0.087950,46064335,30089700,15974635
326,0.086280,46545823,30332556,16213267
327,0.086803,47184784,30651710,16533074
328,0.088986,46987592,30593564,16394028
329,0.089175,47634409,30916644,16717765
330,0.090076,48127745,31165450,16962295
331,0.094501,48782466,31492480,17289986
332,0.094770,49013239,31618680,17394559
333,0.094656,49675912,31949684,17726228
334,0.094579,50181240,32204512,17976728
335,0.096713,50851913,32539514,18312399
336,0.097487,49988526,32254740,17733786
337,0.095665,50667247,32593764,18073483
338,0.098387,51184711,32854686,18330025
339,0.101221,51871528,33197756,18673772
340,0.102598,52112965,33329550,18783415
341,0.103092,52807926,33676690,19131236
342,0.102287,53337670,33943778,19393892
343,0.104817,54040823,34295012,19745811
344,0.102316,53819095,34226592,19592503
345,0.105044,54530488,34581944,19948544
346,0.104071,55072656,34855270,20217386
347,0.106134,55792337,35214764,20577573
348,0.108455,56044678,35352272,20692406
349,0.110370,56772695,35715932,21056763
350,0.108170,57327431,35995568,21331863
351,0.111333,58063832,36363418,21700414
352,0.105486,56265920,35996678,20269242
353,0.108005,57010753,36368742,20642011
354,0.110872,57578201,36654760,20923441
355,0.107822,58331514,37031062,21300452
356,0.111640,58594999,37174404,21420595
357,0.114197,59356840,37554968,21801872
358,0.117444,59937144,37847440,22089704
359,0.115177,60707561,38232290,22475271
360,0.113877,60459905,38152900,22307005
361,0.116873,61238946,38542060,22696886
362,0.116906,61832250,38841058,22991192
363,0.120143,62619963,39234552,23385411
364,0.120843,62894832,39383848,23510984
365,0.121934,63691265,39781700,23909565
366,0.121578,64297713,40087296,24210417
367,0.126377,65102914,40489530,24613384
368,0.124115,64031263,40114902,23916361
369,0.124049,64845280,40521542,24323738
370,0.127373,65465016,40833808,24631208
371,0.126375,66287897,41244878,25043019
372,0.127299,66574390,41400248,25174142
373,0.129694,67406183,41815772,25590411
374,0.129771,68039351,42134780,25904571
375,0.132283,68880104,42554782,26325322
376,0.132866,68605128,42463726,26141402
377,0.131632,69454889,42888230,26566659
378,0.135666,70101633,43214052,26887581
379,0.134879,70960450,43643082,27317368
380,0.137540,71258807,43804646,27454161
381,0.141700,72126728,44238226,27888502
382,0.139678,72787192,44570934,28216258
383,0.146054,73664265,45009088,28655177
384,0.148723,80646021,58410360,22235661
385,0.148739,81532294,58853112,22679182
386,0.148632,82206622,59192778,23013844
387,0.151260,83102143,59640152,23461991
388,0.152419,83412604,59808030,23604574
389,0.153482,84317421,60260050,24057371
390,0.184491,85005757,60606746,24399011
391,0.172576,85919918,61063436,24856482
392,0.157285,85616230,60960018,24656212
393,0.159342,86539783,61421402,25118381
394,0.203469,87242271,61775200,25467071
395,0.167262,88175264,62241302,25933962
396,0.163560,88498069,62415614,26082455
397,0.168281,89440550,62886458,26554092
398,0.167568,90157334,63247430,26909904
399,0.171785,91109351,63723040,27386311
400,0.168170,89807404,63247542,26559862
401,0.169266,90769005,63727942,27041063
402,0.171331,91500229,64096160,27404069
403,0.171394,92471462,64581374,27890088
404,0.173751,92806851,64762240,28044611
405,0.174023,93787764,65252292,28535472
406,0.176972,94533572,65627828,28905744
407,0.181811,95524213,66122742,29401471
408,0.180672,95190421,66006266,29184155
409,0.181758,96190838,66506066,29684772
410,0.185645,96951374,66888992,30062382
411,0.184909,97961615,67393702,30567913
412,0.181918,98309828,67581242,30728586
413,0.187169,99329941,68090886,31239055
414,0.189115,100105349,68481274,31624075
415,0.192148,101135382,68995876,32139506
416,0.183964,98358262,68240118,30118144
417,0.183953,99398263,68759702,30638561
418,0.190122,100188687,69157624,31031063
419,0.195434,101238704,69682214,31556490
420,0.192963,101599981,69876548,31723433
421,0.188532,102660062,70406168,32253894
422,0.196032,103465646,70811696,32653950
423,0.198469,104535839,71346370,33189469
424,0.193987,104170551,71216140,32954411
425,0.197375,105250904,71755892,33495012
426,0.201371,106071792,72169098,33902694
427,0.204080,107162353,72713952,34448401
428,0.202813,107536934,72915200,34621734
429,0.209666,108637751,73465180,35172571
430,0.207083,109474087,73886136,35587951
431,0.209063,110585208,74441266,36143942
432,0.206149,109030933,73853882,35177051
433,0.209713,110152406,74414186,35738220
434,0.212323,111004334,74842964,36161370
435,0.213047,112136207,75408466,36727741
436,0.211521,112524332,75616748,36907584
437,0.216539,113666653,76187472,37479181
438,0.218723,114534317,76624144,37910173
439,0.220970,115687134,77200114,38487020
440,0.216369,115288958,77055434,38233524
441,0.222141,116452319,77636674,38815645
442,0.226154,117335863,78081312,39254551
443,0.224903,118509816,78667846,39841970
444,0.226982,118911725,78883282,40028443
